region,experiment,year,mean_temp,anomaly
tropical,historical,1850,298.0881042480469,-0.40561726888023486
tropical,historical,1851,297.8171691894531,-0.6765523274739849
tropical,historical,1852,297.83544921875,-0.6582722981771099
tropical,historical,1853,298.1378173828125,-0.35590413411460986
tropical,historical,1854,298.0655212402344,-0.42820027669273486
tropical,historical,1855,298.1938781738281,-0.29984334309898486
tropical,historical,1856,298.3362731933594,-0.15744832356773486
tropical,historical,1857,298.3572692871094,-0.13645222981773486
tropical,historical,1858,298.08599853515625,-0.40772298177085986
tropical,historical,1859,298.1887512207031,-0.30497029622398486
tropical,historical,1860,297.9490051269531,-0.5447163899739849
tropical,historical,1861,297.7794494628906,-0.7142720540364849
tropical,historical,1862,297.8515930175781,-0.6421284993489849
tropical,historical,1863,297.9250793457031,-0.5686421712239849
tropical,historical,1864,298.174560546875,-0.31916097005210986
tropical,historical,1865,298.2508850097656,-0.24283650716148486
tropical,historical,1866,298.4503173828125,-0.04340413411460986
tropical,historical,1867,298.5197448730469,0.02602335611976514
tropical,historical,1868,298.3716735839844,-0.12204793294273486
tropical,historical,1869,298.15777587890625,-0.33594563802085986
tropical,historical,1870,298.3020935058594,-0.19162801106773486
tropical,historical,1871,298.1409912109375,-0.35273030598960986
tropical,historical,1872,298.1120300292969,-0.38169148763023486
tropical,historical,1873,298.2615661621094,-0.23215535481773486
tropical,historical,1874,298.3125915527344,-0.18112996419273486
tropical,historical,1875,298.17694091796875,-0.31678059895835986
tropical,historical,1876,298.0095520019531,-0.48416951497398486
tropical,historical,1877,298.2349548339844,-0.25876668294273486
tropical,historical,1878,298.4891357421875,-0.00458577473960986
tropical,historical,1879,298.7698669433594,0.27614542643226514
tropical,historical,1880,298.2011413574219,-0.29258015950523486
tropical,historical,1881,298.0849914550781,-0.40873006184898486
tropical,historical,1882,298.50762939453125,0.01390787760414014
tropical,historical,1883,298.4363708496094,-0.05735066731773486
tropical,historical,1884,298.1767883300781,-0.31693318684898486
tropical,historical,1885,298.4615173339844,-0.03220418294273486
tropical,historical,1886,298.4222106933594,-0.07151082356773486
tropical,historical,1887,298.3135681152344,-0.18015340169273486
tropical,historical,1888,298.0828552246094,-0.41086629231773486
tropical,historical,1889,297.9995422363281,-0.49417928059898486
tropical,historical,1890,298.1195983886719,-0.37412312825523486
tropical,historical,1891,298.1580505371094,-0.33567097981773486
tropical,historical,1892,298.1119689941406,-0.38175252278648486
tropical,historical,1893,298.24853515625,-0.24518636067710986
tropical,historical,1894,298.3612060546875,-0.13251546223960986
tropical,historical,1895,298.2306213378906,-0.26310017903648486
tropical,historical,1896,298.2338562011719,-0.25986531575523486
tropical,historical,1897,298.3908996582031,-0.10282185872398486
tropical,historical,1898,298.7392883300781,0.24556681315101514
tropical,historical,1899,298.6385803222656,0.14485880533851514
tropical,historical,1900,298.62225341796875,0.12853190104164014
tropical,historical,1901,298.4591979980469,-0.03452351888023486
tropical,historical,1902,298.0109558105469,-0.48276570638023486
tropical,historical,1903,298.3620300292969,-0.13169148763023486
tropical,historical,1904,298.6350402832031,0.14131876627601514
tropical,historical,1905,298.42938232421875,-0.06433919270835986
tropical,historical,1906,298.5950012207031,0.10127970377601514
tropical,historical,1907,298.3086853027344,-0.18503621419273486
tropical,historical,1908,298.1045837402344,-0.38913777669273486
tropical,historical,1909,298.3356628417969,-0.15805867513023486
tropical,historical,1910,298.3290710449219,-0.16465047200523486
tropical,historical,1911,298.3470764160156,-0.14664510091148486
tropical,historical,1912,298.33984375,-0.15387776692710986
tropical,historical,1913,298.2402038574219,-0.25351765950523486
tropical,historical,1914,298.2414245605469,-0.25229695638023486
tropical,historical,1915,298.2024841308594,-0.29123738606773486
tropical,historical,1916,298.475830078125,-0.01789143880210986
tropical,historical,1917,298.4455261230469,-0.04819539388023486
tropical,historical,1918,298.43365478515625,-0.06006673177085986
tropical,historical,1919,298.2563781738281,-0.23734334309898486
tropical,historical,1920,298.3727722167969,-0.12094930013023486
tropical,historical,1921,298.5981140136719,0.10439249674476514
tropical,historical,1922,298.5233459472656,0.02962443033851514
tropical,historical,1923,298.49951171875,0.00579020182289014
tropical,historical,1924,298.70416259765625,0.21044108072914014
tropical,historical,1925,298.1883544921875,-0.30536702473960986
tropical,historical,1926,298.2398986816406,-0.25382283528648486
tropical,historical,1927,298.4454040527344,-0.04831746419273486
tropical,historical,1928,298.4619445800781,-0.03177693684898486
tropical,historical,1929,298.2466735839844,-0.24704793294273486
tropical,historical,1930,298.365478515625,-0.12824300130210986
tropical,historical,1931,298.49627685546875,0.0025553385416401397
tropical,historical,1932,298.4125061035156,-0.08121541341148486
tropical,historical,1933,298.1719055175781,-0.32181599934898486
tropical,historical,1934,298.2617492675781,-0.23197224934898486
tropical,historical,1935,298.8305969238281,0.33687540690101514
tropical,historical,1936,299.0287780761719,0.5350565592447651
tropical,historical,1937,298.505615234375,0.01189371744789014
tropical,historical,1938,298.58251953125,0.08879801432289014
tropical,historical,1939,298.5868225097656,0.09310099283851514
tropical,historical,1940,298.3585510253906,-0.13517049153648486
tropical,historical,1941,298.4717712402344,-0.02195027669273486
tropical,historical,1942,298.516845703125,0.02312418619789014
tropical,historical,1943,298.6181030273437,0.1243815104165833
tropical,historical,1944,298.6830139160156,0.18929239908851514
tropical,historical,1945,298.1614074707031,-0.33231404622398486
tropical,historical,1946,298.2618103027344,-0.23191121419273486
tropical,historical,1947,298.0679016113281,-0.42581990559898486
tropical,historical,1948,298.2074279785156,-0.28629353841148486
tropical,historical,1949,298.5991516113281,0.10543009440101514
tropical,historical,1950,298.5582275390625,0.06450602213539014
tropical,historical,1951,298.7861328125,0.29241129557289014
tropical,historical,1952,298.8948669433594,0.40114542643226514
tropical,historical,1953,298.4834899902344,-0.01023152669273486
tropical,historical,1954,298.42138671875,-0.07233479817710986
tropical,historical,1955,298.6043395996094,0.11061808268226514
tropical,historical,1956,298.7331237792969,0.23940226236976514
tropical,historical,1957,298.6844482421875,0.19072672526039014
tropical,historical,1958,298.3119201660156,-0.18180135091148486
tropical,historical,1959,297.8509826660156,-0.6427388509114849
tropical,historical,1960,298.0088806152344,-0.48484090169273486
tropical,historical,1961,298.3310852050781,-0.16263631184898486
tropical,historical,1962,298.2507629394531,-0.24295857747398486
tropical,historical,1963,298.5965270996094,0.10280558268226514
tropical,historical,1964,298.6697082519531,0.17598673502601514
tropical,historical,1965,298.4354248046875,-0.05829671223960986
tropical,historical,1966,298.3912658691406,-0.10245564778648486
tropical,historical,1967,298.4246826171875,-0.06903889973960986
tropical,historical,1968,298.4762268066406,-0.01749471028648486
tropical,historical,1969,298.3503112792969,-0.14341023763023486
tropical,historical,1970,298.2929992675781,-0.20072224934898486
tropical,historical,1971,298.3084411621094,-0.18528035481773486
tropical,historical,1972,298.6070861816406,0.11336466471351514
tropical,historical,1973,298.7715759277344,0.27785441080726514
tropical,historical,1974,298.3274841308594,-0.16623738606773486
tropical,historical,1975,298.36358642578125,-0.13013509114585986
tropical,historical,1976,298.6353454589844,0.14162394205726514
tropical,historical,1977,298.7615051269531,0.26778361002601514
tropical,historical,1978,298.9097595214844,0.41603800455726514
tropical,historical,1979,298.6064147949219,0.11269327799476514
tropical,historical,1980,298.5218811035156,0.02815958658851514
tropical,historical,1981,299.0082397460937,0.5145182291665833
tropical,historical,1982,298.7994689941406,0.30574747721351514
tropical,historical,1983,298.3968505859375,-0.09687093098960986
tropical,historical,1984,298.77783203125,0.28411051432289014
tropical,historical,1985,298.64117431640625,0.14745279947914014
tropical,historical,1986,298.2514038085937,-0.2423177083334167
tropical,historical,1987,298.3445739746094,-0.14914754231773486
tropical,historical,1988,298.7830505371094,0.28932902018226514
tropical,historical,1989,298.7624206542969,0.26869913736976514
tropical,historical,1990,298.5318603515625,0.03813883463539014
tropical,historical,1991,298.5550231933594,0.06130167643226514
tropical,historical,1992,298.7748413085937,0.2811197916665833
tropical,historical,1993,298.7513732910156,0.25765177408851514
tropical,historical,1994,298.6434936523437,0.1497721354165833
tropical,historical,1995,298.5929260253906,0.09920450846351514
tropical,historical,1996,298.7182312011719,0.22450968424476514
tropical,historical,1997,298.7073669433594,0.21364542643226514
tropical,historical,1998,298.5815734863281,0.08785196940101514
tropical,historical,1999,298.8172912597656,0.32356974283851514
tropical,historical,2000,299.1275939941406,0.6338724772135151
tropical,historical,2001,299.2624816894531,0.7687601725260151
tropical,historical,2002,299.0709533691406,0.5772318522135151
tropical,historical,2003,299.1763610839844,0.6826395670572651
tropical,historical,2004,299.0195007324219,0.5257792154947651
tropical,historical,2005,298.74560546875,0.25188395182289014
tropical,historical,2006,298.8224792480469,0.32875773111976514
tropical,historical,2007,299.1106262207031,0.6169047037760151
tropical,historical,2008,299.0540466308594,0.5603251139322651
tropical,historical,2009,298.7997131347656,0.30599161783851514
tropical,historical,2010,298.9400939941406,0.44637247721351514
tropical,historical,2011,299.2947692871094,0.8010477701822651
tropical,historical,2012,299.3212585449219,0.8275370279947651
tropical,historical,2013,299.0874938964844,0.5937723795572651
tropical,historical,2014,298.99365234375,0.49993082682289014
subtropical,historical,1850,290.9867858886719,-0.19983520507810226
subtropical,historical,1851,290.91973876953125,-0.26688232421872726
subtropical,historical,1852,291.06805419921875,-0.11856689453122726
subtropical,historical,1853,291.0303649902344,-0.15625610351560226
subtropical,historical,1854,290.9344482421875,-0.25217285156247726
subtropical,historical,1855,291.005126953125,-0.18149414062497726
subtropical,historical,1856,290.9539794921875,-0.23264160156247726
subtropical,historical,1857,290.9688720703125,-0.21774902343747726
subtropical,historical,1858,291.0477600097656,-0.13886108398435226
subtropical,historical,1859,291.13623046875,-0.05039062499997726
subtropical,historical,1860,291.0849304199219,-0.10169067382810226
subtropical,historical,1861,291.0931701660156,-0.09345092773435226
subtropical,historical,1862,291.0000305175781,-0.18659057617185226
subtropical,historical,1863,290.9436950683594,-0.24292602539060226
subtropical,historical,1864,290.9553527832031,-0.23126831054685226
subtropical,historical,1865,290.9541015625,-0.23251953124997726
subtropical,historical,1866,291.0796813964844,-0.10693969726560226
subtropical,historical,1867,291.1296081542969,-0.05701293945310226
subtropical,historical,1868,291.0507507324219,-0.13587036132810226
subtropical,historical,1869,291.0601806640625,-0.12644042968747726
subtropical,historical,1870,291.0749816894531,-0.11163940429685226
subtropical,historical,1871,291.0888366699219,-0.09778442382810226
subtropical,historical,1872,291.0497436523437,-0.1368774414062841
subtropical,historical,1873,291.1042175292969,-0.08240356445310226
subtropical,historical,1874,291.111572265625,-0.07504882812497726
subtropical,historical,1875,290.96124267578125,-0.22537841796872726
subtropical,historical,1876,291.1396484375,-0.04697265624997726
subtropical,historical,1877,291.1391906738281,-0.04743041992185226
subtropical,historical,1878,291.1928100585937,0.006188964843715894
subtropical,historical,1879,291.2522277832031,0.06560668945314774
subtropical,historical,1880,291.2385559082031,0.05193481445314774
subtropical,historical,1881,291.1775817871094,-0.009039306640602263
subtropical,historical,1882,291.2027893066406,0.016168212890647737
subtropical,historical,1883,291.1752624511719,-0.011358642578102263
subtropical,historical,1884,290.9350891113281,-0.25153198242185226
subtropical,historical,1885,290.8260803222656,-0.36054077148435226
subtropical,historical,1886,291.0735778808594,-0.11304321289060226
subtropical,historical,1887,290.97052001953125,-0.21610107421872726
subtropical,historical,1888,291.0444641113281,-0.14215698242185226
subtropical,historical,1889,290.94317626953125,-0.24344482421872726
subtropical,historical,1890,290.9833679199219,-0.20325317382810226
subtropical,historical,1891,291.0074157714844,-0.17920532226560226
subtropical,historical,1892,291.0576477050781,-0.12897338867185226
subtropical,historical,1893,291.0826110839844,-0.10401000976560226
subtropical,historical,1894,291.0633239746094,-0.12329711914060226
subtropical,historical,1895,291.0467834472656,-0.13983764648435226
subtropical,historical,1896,291.0567932128906,-0.12982788085935226
subtropical,historical,1897,291.2386169433594,0.05199584960939774
subtropical,historical,1898,291.1864318847656,-0.00018920898435226263
subtropical,historical,1899,291.1499938964844,-0.03662719726560226
subtropical,historical,1900,291.1776733398437,-0.008947753906284106
subtropical,historical,1901,291.0939025878906,-0.09271850585935226
subtropical,historical,1902,291.048095703125,-0.13852539062497726
subtropical,historical,1903,290.9889831542969,-0.19763793945310226
subtropical,historical,1904,290.9818115234375,-0.20480957031247726
subtropical,historical,1905,291.05255126953125,-0.13406982421872726
subtropical,historical,1906,291.1536560058594,-0.03296508789060226
subtropical,historical,1907,291.0101623535156,-0.17645874023435226
subtropical,historical,1908,291.00396728515625,-0.18265380859372726
subtropical,historical,1909,291.0239562988281,-0.16266479492185226
subtropical,historical,1910,291.0340270996094,-0.15259399414060226
subtropical,historical,1911,291.01910400390625,-0.16751708984372726
subtropical,historical,1912,290.93670654296875,-0.24991455078122726
subtropical,historical,1913,290.8944396972656,-0.29218139648435226
